alabama   454854 votes,    0.587 % trump,    0.401 % biden, 2020-11-04T02:50:58ZOkay: 
alabama   459786 votes,    0.587 % trump,    0.401 % biden, 2020-11-04T02:51:56ZOkay: 
alabama   473200 votes,    0.593 % trump,    0.395 % biden, 2020-11-04T02:52:39ZOkay: 
alabama   480531 votes,    0.596 % trump,    0.392 % biden, 2020-11-04T02:52:42ZOkay: 
alabama   514594 votes,    0.592 % trump,    0.396 % biden, 2020-11-04T02:54:26ZOkay: 
alabama   516083 votes,    0.592 % trump,    0.396 % biden, 2020-11-04T02:55:57ZOkay: 
alabama   554303 votes,    0.595 % trump,    0.393 % biden, 2020-11-04T02:56:15ZOkay: 
alabama   566449 votes,    0.597 % trump,    0.391 % biden, 2020-11-04T02:56:28ZOkay: 
alabama   573225 votes,    0.594 % trump,    0.394 % biden, 2020-11-04T02:57:53ZOkay: 
alabama   583921 votes,    0.595 % trump,    0.393 % biden, 2020-11-04T02:58:08ZOkay: 
alabama   589136 votes,    0.592 % trump,    0.396 % biden, 2020-11-04T02:58:42ZOkay: 
alabama   590341 votes,    0.592 % trump,    0.396 % biden, 2020-11-04T02:59:22ZOkay: 
alabama   593003 votes,    0.592 % trump,    0.396 % biden, 2020-11-04T03:01:01ZOkay: 
alabama   605794 votes,    0.598 % trump,     0.39 % biden, 2020-11-04T03:03:29ZOkay: 
alabama   635162 votes,    0.607 % trump,    0.381 % biden, 2020-11-04T03:06:21ZOkay: 
alabama   642315 votes,    0.606 % trump,    0.382 % biden, 2020-11-04T03:06:59ZOkay: 
alabama   652784 votes,     0.61 % trump,    0.378 % biden, 2020-11-04T03:08:18ZOkay: 
alabama   661443 votes,    0.613 % trump,    0.375 % biden, 2020-11-04T03:09:05ZOkay: 
alabama   743828 votes,    0.586 % trump,    0.401 % biden, 2020-11-04T03:09:25ZOkay: 
alabama   753131 votes,     0.59 % trump,    0.397 % biden, 2020-11-04T03:12:01ZOkay: 
alabama   754766 votes,    0.591 % trump,    0.397 % biden, 2020-11-04T03:14:02ZOkay: 
alabama   761603 votes,    0.593 % trump,    0.394 % biden, 2020-11-04T03:14:47ZOkay: 
alabama   769023 votes,    0.593 % trump,    0.395 % biden, 2020-11-04T03:15:22ZOkay: 
alabama   804036 votes,    0.596 % trump,    0.392 % biden, 2020-11-04T03:16:18ZOkay: 
alabama   832953 votes,    0.605 % trump,    0.383 % biden, 2020-11-04T03:16:42ZOkay: 
alabama   845228 votes,    0.609 % trump,    0.379 % biden, 2020-11-04T03:17:36ZOkay: 
alabama   854682 votes,    0.608 % trump,     0.38 % biden, 2020-11-04T03:18:38ZOkay: 
alabama   887955 votes,    0.606 % trump,    0.382 % biden, 2020-11-04T03:19:26ZOkay: 
alabama   905303 votes,     0.61 % trump,    0.378 % biden, 2020-11-04T03:20:10ZOkay: 
alabama   917962 votes,    0.612 % trump,    0.376 % biden, 2020-11-04T03:20:36ZOkay: 
alabama   926122 votes,    0.614 % trump,    0.374 % biden, 2020-11-04T03:21:04ZOkay: 
alabama   927741 votes,    0.614 % trump,    0.374 % biden, 2020-11-04T03:22:41ZOkay: 
alabama   961095 votes,     0.62 % trump,    0.368 % biden, 2020-11-04T03:23:35ZOkay: 
alabama   970877 votes,    0.621 % trump,    0.367 % biden, 2020-11-04T03:24:12ZOkay: 
alabama  1019460 votes,    0.625 % trump,    0.362 % biden, 2020-11-04T03:25:19ZOkay: 
alabama  1020191 votes,    0.626 % trump,    0.362 % biden, 2020-11-04T03:25:56ZOkay: 
alabama  1036595 votes,    0.624 % trump,    0.363 % biden, 2020-11-04T03:26:28ZOkay: 
alabama  1042877 votes,    0.622 % trump,    0.366 % biden, 2020-11-04T03:26:41ZOkay: 
alabama  1045742 votes,    0.623 % trump,    0.365 % biden, 2020-11-04T03:28:28ZOkay: 
alabama  1053693 votes,    0.623 % trump,    0.365 % biden, 2020-11-04T03:30:56ZOkay: 
alabama  1091758 votes,    0.623 % trump,    0.365 % biden, 2020-11-04T03:32:55ZOkay: 
alabama  1093509 votes,    0.623 % trump,    0.365 % biden, 2020-11-04T03:33:16ZOkay: 
alabama  1109466 votes,    0.625 % trump,    0.363 % biden, 2020-11-04T03:33:50ZOkay: 
alabama  1118645 votes,    0.627 % trump,    0.361 % biden, 2020-11-04T03:34:12ZOkay: 
alabama  1131209 votes,    0.629 % trump,    0.359 % biden, 2020-11-04T03:35:23ZOkay: 
alabama  1139283 votes,    0.631 % trump,    0.358 % biden, 2020-11-04T03:36:04ZOkay: 
alabama  1163951 votes,    0.632 % trump,    0.356 % biden, 2020-11-04T03:36:19ZOkay: 
alabama  1169348 votes,    0.632 % trump,    0.356 % biden, 2020-11-04T03:36:41ZOkay: 
alabama  1181775 votes,    0.627 % trump,    0.361 % biden, 2020-11-04T03:39:21ZOkay: 
alabama  1230361 votes,    0.627 % trump,    0.361 % biden, 2020-11-04T03:41:28ZOkay: 
alabama  1274884 votes,    0.624 % trump,    0.364 % biden, 2020-11-04T03:44:11ZOkay: 
